"Y1"	"Y10"	"Y20"	"Y30"
3.47	4.97	5.58	5.48
2.82	4.73	5.53	5.48
2.33	4.57	5.34	5.32
2.18	4.65	5.33	5.12
2.22	5.09	5.76	5.48
2.16	5.04	5.69	5.45
2.23	4.91	5.61	NA
2.57	5.28	5.93	NA
2.48	5.21	5.85	NA
2.35	5.16	5.81	NA
2.2	4.93	5.65	NA
1.96	4.65	5.51	NA
1.76	4.26	5.19	NA
1.72	3.87	4.87	NA
1.65	3.94	5	NA
1.49	4.05	5.04	NA
1.45	4.03	5.01	NA
1.36	4.05	5.02	NA
1.3	3.9	4.87	NA
1.24	3.81	4.82	NA
1.27	3.96	4.91	NA
1.18	3.57	4.52	NA
1.01	3.33	4.34	NA
1.12	3.98	4.92	NA
1.31	4.45	5.39	NA
1.24	4.27	5.21	NA
1.25	4.29	5.21	NA
1.34	4.3	5.17	NA
1.31	4.27	5.11	NA
1.24	4.15	5.01	NA
1.24	4.08	4.94	NA
1.19	3.83	4.72	NA
1.43	4.35	5.16	NA
1.78	4.72	5.46	NA
2.12	4.73	5.45	NA
2.1	4.5	5.24	NA
2.02	4.28	5.07	NA
2.12	4.13	4.89	NA
2.23	4.1	4.85	NA
2.5	4.19	4.89	NA
2.67	4.23	4.88	NA
2.86	4.22	4.77	NA
3.03	4.17	4.61	NA
3.3	4.5	4.89	NA
